1.307386582993785745e-07,7.317945254214918995e-08,3.594960853448014727e-08,2.509443419729251445e-08,1.090647588561366454e-08,2.446524366983560260e-08,4.613863598124101959e-09,6.826150306116219089e-09,4.220583076086636634e-09,4.594142108405030456e-09
8.103823887495308934e-08,9.224483683567541712e-08,3.549450084960881478e-08,2.188204648589931044e-08,1.308514604760058275e-08,2.183272096861754652e-08,3.443337111622146646e-09,2.784507682415671314e-09,2.918421701178508686e-09,6.167426330749847972e-09
9.321809280038451107e-08,7.123451446489071069e-08,3.427978896297645671e-08,3.823795173829580298e-08,1.621682930164070190e-08,7.821994147533262496e-09,1.619930810603520465e-08,3.203162159820527487e-09,5.455547821830997014e-09,3.644756103871049481e-09
7.715328180779579005e-08,4.944988525323879268e-08,4.666969264377485293e-08,2.814616129054314797e-08,1.856335249683649446e-08,5.013929080255330296e-09,1.051058169110330487e-08,3.090265402599934236e-09,4.996236979692980640e-09,5.550994632355643941e-09
1.236486816935666760e-07,5.930550563970626722e-08,5.111724892259416910e-08,3.165662403326052489e-08,8.421677571979202857e-09,7.166244259115828517e-09,1.262986770445007001e-08,4.957263607940909698e-09,4.791845044371800479e-09,7.717841201543284793e-09
8.377338733822625727e-08,5.796498214749590261e-08,6.410934691794545337e-08,1.645668170069392100e-08,2.156281593140851948e-08,5.155635788775536797e-09,9.726589283998166025e-09,4.115529338155621440e-09,4.359693073913150865e-09,6.461594425147265840e-09
6.548306998865883163e-08,7.207410241960588147e-08,4.188824430095827987e-08,3.876356328702535146e-08,1.673211742492242072e-08,4.097295927540934077e-09,7.018898126598394237e-09,2.530943205014679620e-09,3.554198896305038436e-09,8.025332041278199213e-09
9.655327239954659110e-08,5.195867358587236140e-08,4.319604173796953584e-08,1.464584220567388684e-08,1.244702731995062128e-08,8.070535682802581714e-09,1.880655434507993830e-09,5.097423584621285807e-09,5.166135922177183761e-09,7.254991873928417879e-09
7.277429325824869011e-08,4.687296399907836266e-08,2.439509872650957801e-08,2.714607784670697365e-08,1.358351588987005731e-08,7.931475235617435284e-09,4.907816911550733074e-09,2.352056541546354739e-09,6.491831175403639189e-09,1.007680852128933768e-08
7.172145091161042348e-08,4.399211857020191284e-08,4.568918727798632327e-08,2.624617581048482729e-08,5.086514653918072781e-09,1.468236865490024568e-08,5.719362446143794353e-09,6.483479864094476852e-09,4.589763686821402342e-09,4.734010924933862110e-09
7.676123026101322466e-08,4.000211983878898536e-08,2.729889425623355237e-08,3.239833888946108422e-08,5.096662725190271079e-09,2.043983396253501367e-09,4.506950799024189382e-09,3.033453707841637925e-09,4.421025082135266235e-09,1.229525099094574969e-08
