nan,1.213470393419265658e+00,2.469014443457126506e-01,6.373698613606393337e-02,6.269656750373542135e-03,2.718277042731642723e-03,5.758257326669990669e-03,1.385452775284647976e-02
nan,1.797536492347717285e+00,4.243776082992553600e-01,1.044558733701705933e-01,3.005420257395598899e-02,6.073181697865947734e-03,3.023993677925318306e-03,7.131316745653748339e-03
nan,1.982429865002632186e+00,5.493205592036247698e-01,2.517652101814746857e-01,6.815909221768379211e-02,1.656011440791189601e-02,2.283899078611284408e-03,3.749373380560428078e-03
nan,nan,1.113418415188789368e+00,3.466547898948192374e-01,1.105270819738507215e-01,2.684793402440845828e-02,5.354060220997780735e-03,2.965270297136157578e-03
nan,nan,1.543655776977538974e+00,5.921547949314117654e-01,1.625531151890754755e-01,4.475436750799417773e-02,1.259910112712532212e-02,3.415073722135275429e-03
nan,nan,2.108942824602126898e+00,5.151006892323494180e-01,2.917528867721557728e-01,1.253029426559805759e-01,2.393049837555736442e-02,8.277873252518474709e-03
nan,nan,2.484129965305328369e+00,9.150802046060562134e-01,4.291830092668533214e-01,1.458255689591169413e-01,6.091184234246611873e-02,1.574172022519633105e-02
nan,nan,nan,1.600487643480300815e+00,6.517136126756668535e-01,2.438151128590106964e-01,7.817578874528408051e-02,3.538148407824337482e-02
nan,nan,nan,1.829138195514679044e+00,6.450406551361084206e-01,2.922197662293911091e-01,1.213331922888755826e-01,5.244888104498386661e-02
nan,nan,nan,1.930693948268890292e+00,1.051551038026809604e+00,2.768584623932838218e-01,1.900120280683040563e-01,8.194437325000762662e-02
